,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,Join year,Join month,Last Payment year,Last Payment month,Account Since,subscription type_Basic,subscription type_Premium,subscription type_Standard,Country_type_Australia,Country_type_Brazil,Country_type_Canada,Country_type_France,Country_type_Germany,Country_type_Italy,Country_type_Mexico,Country_type_Spain,Country_type_United Kingdom,Country_type_United States,Device_type_Laptop,Device_type_Smart TV,Device_type_Smartphone,Device_type_Tablet,Device_type_Laptop,Device_type_Smart TV,Device_type_Smartphone,Device_type_Tablet,Age_bins
344,Basic,10,2022-08-08,2023-06-25,Germany,48,Female,Smart TV,1,2022,8,2023,6,375,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
345,Premium,15,2022-08-31,2023-06-26,France,37,Male,Tablet,1,2022,8,2023,6,352,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
346,Basic,14,2022-09-21,2023-06-28,Brazil,29,Male,Smartphone,1,2022,9,2023,6,331,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
347,Standard,14,2022-05-10,2023-06-26,Mexico,30,Male,Smart TV,1,2022,5,2023,6,465,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,28-37
348,Premium,14,2022-02-11,2023-06-26,Spain,28,Male,Smartphone,1,2022,2,2023,6,553,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,18-27
349,Basic,10,2022-02-11,2023-06-28,Italy,44,Female,Smartphone,1,2022,2,2023,6,553,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,38-47
350,Premium,11,2022-02-11,2023-06-28,United States,34,Female,Smart TV,1,2022,2,2023,6,553,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,28-37
351,Basic,10,2022-09-20,2023-06-26,Canada,38,Male,Laptop,1,2022,9,2023,6,332,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
352,Standard,14,2022-10-08,2023-06-26,United Kingdom,34,Female,Smartphone,1,2022,10,2023,6,314,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,28-37
353,Standard,10,2022-08-16,2023-06-28,Australia,40,Female,Laptop,1,2022,8,2023,6,367,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
354,Basic,15,2022-12-10,2023-06-27,Germany,32,Female,Tablet,1,2022,12,2023,6,251,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
355,Premium,11,2022-10-14,2023-06-30,France,38,Male,Smart TV,1,2022,10,2023,6,308,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,28-37
356,Basic,15,2022-10-18,2023-06-26,Brazil,39,Male,Smartphone,1,2022,10,2023,6,304,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,38-47
357,Standard,12,2022-11-11,2023-06-28,Mexico,34,Female,Smart TV,1,2022,11,2023,6,280,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,28-37
358,Premium,11,2022-11-20,2023-06-26,Spain,41,Male,Smartphone,1,2022,11,2023,6,271,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,38-47
359,Basic,15,2022-11-21,2023-06-30,Italy,43,Female,Tablet,1,2022,11,2023,6,270,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,38-47
360,Premium,12,2022-11-25,2023-06-28,United States,36,Female,Laptop,1,2022,11,2023,6,266,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,28-37
361,Basic,11,2022-08-12,2023-06-27,Canada,31,Male,Laptop,1,2022,8,2023,6,371,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
362,Standard,12,2022-01-11,2023-06-25,United Kingdom,47,Female,Smart TV,1,2022,1,2023,6,584,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,38-47
363,Standard,14,2022-12-10,2023-06-29,Australia,48,Male,Smart TV,1,2022,12,2023,6,251,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
364,Basic,11,2022-10-13,2023-06-27,Germany,36,Male,Laptop,1,2022,10,2023,6,309,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
365,Premium,12,2022-10-17,2023-06-29,France,41,Male,Smart TV,1,2022,10,2023,6,305,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
366,Basic,13,2022-10-23,2023-06-25,Brazil,32,Male,Laptop,1,2022,10,2023,6,299,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
367,Standard,13,2022-10-24,2023-06-28,Mexico,28,Male,Smartphone,1,2022,10,2023,6,298,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,18-27
368,Premium,12,2022-10-25,2023-06-27,Spain,46,Female,Smartphone,1,2022,10,2023,6,297,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,38-47
369,Basic,11,2022-10-22,2023-06-29,Italy,46,Female,Smartphone,1,2022,10,2023,6,300,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,38-47
370,Basic,11,2022-09-30,2023-06-25,United States,47,Male,Tablet,1,2022,9,2023,6,322,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,38-47
371,Basic,11,2022-06-09,2023-06-27,Canada,31,Female,Tablet,1,2022,6,2023,6,435,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
372,Standard,10,2022-06-18,2023-06-26,United Kingdom,44,Female,Tablet,1,2022,6,2023,6,426,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,38-47
373,Premium,10,2022-12-06,2023-06-28,Australia,39,Female,Laptop,1,2022,12,2023,6,255,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
374,Basic,14,2022-06-17,2023-06-28,Germany,44,Female,Laptop,1,2022,6,2023,6,427,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
375,Basic,12,2022-06-20,2023-06-27,France,39,Female,Smartphone,1,2022,6,2023,6,424,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,38-47
376,Premium,12,2022-08-27,2023-06-28,Brazil,37,Male,Laptop,1,2022,8,2023,6,356,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
377,Standard,14,2022-08-13,2023-06-27,Mexico,47,Female,Laptop,1,2022,8,2023,6,370,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,38-47
378,Standard,10,2022-12-08,2023-06-28,Spain,46,Female,Smart TV,1,2022,12,2023,6,253,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,38-47
379,Basic,15,2022-05-08,2023-06-27,Italy,27,Female,Smart TV,1,2022,5,2023,6,467,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,18-27
380,Premium,10,2022-07-14,2023-06-27,United States,43,Female,Laptop,1,2022,7,2023,6,400,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,38-47
381,Standard,10,2022-07-06,2023-06-26,Canada,51,Male,Smart TV,1,2022,7,2023,6,408,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,48-57
382,Basic,10,2022-01-06,2023-06-27,United Kingdom,49,Male,Smart TV,1,2022,1,2023,6,589,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,48-57
383,Standard,10,2022-05-19,2023-06-28,Australia,35,Female,Smartphone,1,2022,5,2023,6,456,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
384,Premium,15,2022-05-22,2023-06-27,Germany,44,Male,Smartphone,1,2022,5,2023,6,453,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,38-47
385,Basic,14,2022-11-07,2023-06-26,France,48,Male,Tablet,1,2022,11,2023,6,284,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,38-47
386,Premium,11,2022-07-19,2023-06-28,Brazil,39,Female,Tablet,1,2022,7,2023,6,395,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,38-47
387,Standard,12,2022-07-21,2023-06-28,Mexico,38,Male,Laptop,1,2022,7,2023,6,393,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,28-37
388,Basic,14,2022-02-08,2023-06-26,Spain,45,Male,Smart TV,1,2022,2,2023,6,556,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,38-47
389,Standard,13,2022-03-07,2023-06-28,Italy,43,Female,Laptop,1,2022,3,2023,6,529,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,38-47
390,Premium,13,2022-06-23,2023-06-27,United States,42,Male,Laptop,1,2022,6,2023,6,421,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,38-47
391,Basic,15,2022-03-06,2023-06-28,Canada,28,Male,Smart TV,1,2022,3,2023,6,530,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,18-27
392,Standard,10,2022-03-06,2023-06-26,United Kingdom,40,Male,Tablet,1,2022,3,2023,6,530,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,38-47
393,Premium,14,2022-05-30,2023-06-27,Australia,41,Female,Tablet,1,2022,5,2023,6,445,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,38-47
394,Basic,12,2022-05-06,2023-06-26,Germany,45,Female,Laptop,1,2022,5,2023,6,469,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
395,Premium,14,2022-10-06,2023-06-27,France,30,Female,Smartphone,1,2022,10,2023,6,316,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
396,Basic,11,2022-07-14,2023-06-26,Brazil,31,Female,Smartphone,1,2022,7,2023,6,400,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
397,Standard,13,2022-07-15,2023-06-27,Mexico,51,Female,Tablet,1,2022,7,2023,6,399,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,48-57
398,Standard,12,2022-07-14,2023-06-25,Spain,44,Female,Smartphone,1,2022,7,2023,6,400,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,38-47
399,Basic,14,2022-07-13,2023-06-27,Italy,49,Male,Laptop,1,2022,7,2023,6,401,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,48-57
400,Premium,12,2022-07-17,2023-06-26,United States,47,Female,Laptop,1,2022,7,2023,6,397,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,38-47
401,Basic,14,2022-07-21,2023-06-26,Canada,42,Male,Smartphone,1,2022,7,2023,6,393,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,38-47
402,Standard,13,2022-07-23,2023-06-28,United Kingdom,28,Male,Smartphone,1,2022,7,2023,6,391,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,18-27
403,Premium,13,2022-01-08,2023-06-28,Australia,28,Male,Smartphone,1,2022,1,2023,6,587,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18-27
404,Basic,13,2022-06-08,2023-06-26,Germany,49,Female,Tablet,1,2022,6,2023,6,436,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,48-57
405,Premium,12,2022-08-19,2023-06-26,France,32,Female,Smartphone,1,2022,8,2023,6,364,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
406,Basic,12,2022-08-26,2023-06-27,Brazil,37,Female,Tablet,1,2022,8,2023,6,357,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
407,Standard,13,2022-09-27,2023-06-27,Mexico,37,Female,Tablet,1,2022,9,2023,6,325,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,28-37
408,Standard,14,2022-09-15,2023-06-25,Spain,37,Male,Smartphone,1,2022,9,2023,6,337,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,28-37
409,Basic,15,2022-02-09,2023-06-25,Italy,37,Male,Smart TV,1,2022,2,2023,6,555,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,28-37
410,Premium,14,2022-03-09,2023-06-26,United States,48,Female,Tablet,1,2022,3,2023,6,527,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,38-47
411,Basic,12,2022-03-09,2023-06-26,Canada,47,Male,Laptop,1,2022,3,2023,6,527,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
412,Standard,13,2022-08-24,2023-06-26,United Kingdom,41,Female,Smartphone,1,2022,8,2023,6,359,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,38-47
413,Premium,14,2022-08-21,2023-06-27,Australia,47,Female,Laptop,1,2022,8,2023,6,362,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
414,Basic,13,2022-08-23,2023-06-25,Germany,39,Female,Smartphone,1,2022,8,2023,6,360,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,38-47
415,Premium,10,2022-02-09,2023-06-26,France,28,Male,Tablet,1,2022,2,2023,6,555,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18-27
416,Basic,14,2022-09-21,2023-06-29,Brazil,31,Male,Smart TV,1,2022,9,2023,6,331,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,28-37
417,Standard,14,2022-10-21,2023-06-27,Mexico,47,Female,Smart TV,1,2022,10,2023,6,301,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,38-47
418,Standard,11,2022-10-30,2023-06-27,Spain,27,Female,Laptop,1,2022,10,2023,6,292,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,18-27
419,Basic,10,2022-02-11,2023-06-28,Italy,28,Male,Laptop,1,2022,2,2023,6,553,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,18-27
420,Premium,14,2022-10-16,2023-06-28,United States,33,Male,Tablet,1,2022,10,2023,6,306,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,28-37
421,Basic,14,2022-09-15,2023-06-29,Canada,29,Female,Tablet,1,2022,9,2023,6,337,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
422,Standard,15,2022-12-09,2023-06-27,United Kingdom,41,Male,Smartphone,1,2022,12,2023,6,252,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,38-47
423,Premium,12,2022-09-18,2023-06-29,Australia,28,Female,Tablet,1,2022,9,2023,6,334,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18-27
424,Basic,13,2022-04-10,2023-06-27,Germany,38,Male,Tablet,1,2022,4,2023,6,495,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
425,Premium,15,2022-05-10,2023-06-30,France,35,Male,Laptop,1,2022,5,2023,6,465,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
426,Basic,11,2022-06-11,2023-06-26,Brazil,51,Male,Smart TV,1,2022,6,2023,6,433,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,48-57
427,Standard,12,2022-11-17,2023-06-28,Mexico,45,Male,Smartphone,1,2022,11,2023,6,274,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,38-47
428,Standard,14,2022-11-18,2023-06-26,Spain,51,Male,Laptop,1,2022,11,2023,6,273,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,48-57
429,Basic,14,2022-11-22,2023-06-30,Italy,46,Female,Smart TV,1,2022,11,2023,6,269,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,38-47
430,Premium,15,2022-04-12,2023-06-28,United States,28,Male,Smart TV,1,2022,4,2023,6,493,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,18-27
431,Basic,12,2022-11-19,2023-06-30,Canada,46,Female,Smart TV,1,2022,11,2023,6,272,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
432,Standard,11,2022-06-11,2023-06-25,United Kingdom,46,Female,Smartphone,1,2022,6,2023,6,433,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,38-47
433,Premium,12,2022-10-15,2023-06-29,Australia,32,Female,Laptop,1,2022,10,2023,6,307,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
434,Basic,11,2022-10-17,2023-06-28,Germany,39,Female,Smart TV,1,2022,10,2023,6,305,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
435,Premium,11,2022-10-19,2023-06-29,France,41,Female,Smartphone,1,2022,10,2023,6,303,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,38-47
436,Basic,13,2022-10-23,2023-06-25,Brazil,47,Male,Smart TV,1,2022,10,2023,6,299,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
437,Standard,12,2022-10-24,2023-06-28,Mexico,35,Male,Smart TV,1,2022,10,2023,6,298,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,28-37
438,Standard,12,2022-10-23,2023-06-27,Spain,37,Female,Smart TV,1,2022,10,2023,6,299,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,28-37
439,Basic,11,2022-10-10,2023-06-29,Italy,47,Male,Tablet,1,2022,10,2023,6,312,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,38-47
440,Premium,13,2022-05-10,2023-06-28,United States,48,Female,Laptop,1,2022,5,2023,6,465,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,38-47
441,Basic,12,2022-01-07,2023-06-27,Canada,30,Female,Laptop,1,2022,1,2023,6,588,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
442,Standard,10,2022-01-07,2023-06-27,United Kingdom,36,Male,Smart TV,1,2022,1,2023,6,588,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,28-37
443,Premium,10,2022-06-25,2023-06-28,Australia,50,Female,Smartphone,1,2022,6,2023,6,419,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,48-57
444,Basic,12,2022-06-24,2023-06-28,Germany,41,Male,Tablet,1,2022,6,2023,6,420,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,38-47
445,Basic,14,2022-06-28,2023-06-28,France,46,Female,Smartphone,1,2022,6,2023,6,416,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,38-47
446,Basic,15,2022-11-08,2023-06-28,Brazil,36,Female,Laptop,1,2022,11,2023,6,283,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
447,Standard,14,2022-12-08,2023-06-27,Mexico,48,Male,Tablet,1,2022,12,2023,6,253,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,38-47
448,Premium,10,2022-07-08,2023-06-28,Spain,37,Female,Laptop,1,2022,7,2023,6,406,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,28-37
449,Basic,14,2022-06-08,2023-06-27,Italy,49,Male,Laptop,1,2022,6,2023,6,436,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,48-57
450,Basic,12,2022-07-18,2023-06-28,United States,31,Female,Laptop,1,2022,7,2023,6,396,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,28-37
451,Premium,12,2022-06-16,2023-06-26,Canada,42,Female,Laptop,1,2022,6,2023,6,428,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
452,Standard,11,2022-05-30,2023-06-28,United Kingdom,45,Female,Tablet,1,2022,5,2023,6,445,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,38-47
453,Standard,15,2022-05-28,2023-06-28,Australia,51,Female,Tablet,1,2022,5,2023,6,447,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,48-57
454,Basic,11,2022-05-31,2023-06-27,Germany,31,Female,Smart TV,1,2022,5,2023,6,444,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,28-37
455,Premium,14,2022-04-06,2023-06-27,France,41,Male,Tablet,1,2022,4,2023,6,499,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,38-47
456,Standard,14,2022-06-29,2023-06-28,Brazil,40,Male,Smart TV,1,2022,6,2023,6,415,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
457,Basic,10,2022-07-24,2023-06-28,Mexico,27,Male,Tablet,1,2022,7,2023,6,390,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,18-27
458,Standard,10,2022-07-19,2023-06-27,Spain,46,Female,Tablet,1,2022,7,2023,6,395,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,38-47
459,Premium,10,2022-06-30,2023-06-28,Italy,30,Female,Smart TV,1,2022,6,2023,6,414,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,28-37
460,Basic,11,2022-06-16,2023-06-27,United States,37,Male,Smart TV,1,2022,6,2023,6,428,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,28-37
461,Premium,15,2022-10-06,2023-06-28,Canada,45,Male,Smartphone,1,2022,10,2023,6,316,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,38-47
462,Standard,11,2022-01-06,2023-06-26,United Kingdom,40,Male,Smart TV,1,2022,1,2023,6,589,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,38-47
463,Basic,13,2022-03-06,2023-06-28,Australia,45,Male,Laptop,1,2022,3,2023,6,530,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
464,Standard,11,2022-05-06,2023-06-26,Germany,34,Male,Laptop,1,2022,5,2023,6,469,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
465,Premium,10,2022-07-06,2023-06-27,France,33,Male,Laptop,1,2022,7,2023,6,408,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
466,Basic,10,2022-06-22,2023-06-26,Brazil,47,Female,Laptop,1,2022,6,2023,6,422,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
467,Standard,11,2022-06-28,2023-06-27,Mexico,32,Male,Smart TV,1,2022,6,2023,6,416,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,28-37
468,Premium,12,2022-06-29,2023-06-29,Spain,41,Female,Tablet,1,2022,6,2023,6,415,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,38-47
469,Basic,15,2022-03-07,2023-06-28,Italy,31,Female,Tablet,1,2022,3,2023,6,529,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,28-37
470,Premium,15,2022-08-07,2023-06-27,United States,43,Male,Tablet,1,2022,8,2023,6,376,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,38-47
471,Basic,10,2022-07-13,2023-06-27,Canada,32,Female,Tablet,1,2022,7,2023,6,401,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
472,Standard,10,2022-07-27,2023-06-28,United Kingdom,46,Female,Smartphone,1,2022,7,2023,6,387,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,38-47
473,Standard,14,2022-07-30,2023-06-28,Australia,38,Male,Smartphone,1,2022,7,2023,6,384,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
474,Basic,11,2022-08-13,2023-06-26,Germany,31,Female,Smart TV,1,2022,8,2023,6,370,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,28-37
475,Premium,14,2022-08-18,2023-06-26,France,31,Female,Laptop,1,2022,8,2023,6,365,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
476,Basic,10,2022-08-24,2023-06-27,Brazil,50,Male,Laptop,1,2022,8,2023,6,359,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,48-57
477,Standard,10,2022-08-09,2023-06-27,Mexico,32,Male,Laptop,1,2022,8,2023,6,374,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,28-37
478,Premium,13,2022-04-09,2023-06-27,Spain,38,Female,Smartphone,1,2022,4,2023,6,496,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,28-37
479,Basic,15,2022-04-09,2023-06-27,Italy,37,Female,Laptop,1,2022,4,2023,6,496,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,28-37
480,Premium,12,2022-04-09,2023-06-26,United States,36,Male,Smart TV,1,2022,4,2023,6,496,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,28-37
481,Basic,11,2022-08-27,2023-06-27,Canada,30,Male,Smart TV,1,2022,8,2023,6,356,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,28-37
482,Standard,14,2022-08-25,2023-06-27,United Kingdom,28,Male,Smart TV,1,2022,8,2023,6,358,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,18-27
483,Standard,13,2022-08-25,2023-06-28,Australia,40,Male,Smartphone,1,2022,8,2023,6,358,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,38-47
484,Basic,14,2022-01-09,2023-06-28,Germany,28,Female,Tablet,1,2022,1,2023,6,586,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,18-27
